ID,SALT,PASSWORD,TIME
1,11,Y5N=j>Naxr=MZ3*j,155907245
2,11,Y5N=j>Naxr=MZ3*j,154621352
3,11,Y5N=j>Naxr=MZ3*j,140927202
4,11,Y5N=j>Naxr=MZ3*j,149213634
5,11,Y5N=j>Naxr=MZ3*j,146115248
6,11,Y5N=j>Naxr=MZ3*j,145302059
7,11,Y5N=j>Naxr=MZ3*j,152322255
8,11,Y5N=j>Naxr=MZ3*j,156937105
9,11,Y5N=j>Naxr=MZ3*j,154375268
10,11,Y5N=j>Naxr=MZ3*j,147395996
11,11,Y5N=j>Naxr=MZ3*j,156907564
12,11,Y5N=j>Naxr=MZ3*j,151594271
13,11,Y5N=j>Naxr=MZ3*j,142990940
14,11,Y5N=j>Naxr=MZ3*j,149719553
15,11,Y5N=j>Naxr=MZ3*j,144918331
16,11,Y5N=j>Naxr=MZ3*j,151844545
17,11,Y5N=j>Naxr=MZ3*j,143526911
18,11,Y5N=j>Naxr=MZ3*j,151504708
19,11,Y5N=j>Naxr=MZ3*j,141563060
20,11,Y5N=j>Naxr=MZ3*j,146159325
21,11,Y5N=j>Naxr=MZ3*j,165576099
22,11,Y5N=j>Naxr=MZ3*j,142990129
23,11,Y5N=j>Naxr=MZ3*j,146064940
24,11,Y5N=j>Naxr=MZ3*j,152385306
25,11,Y5N=j>Naxr=MZ3*j,152178904
26,11,Y5N=j>Naxr=MZ3*j,139809063
27,11,Y5N=j>Naxr=MZ3*j,142004397
28,11,Y5N=j>Naxr=MZ3*j,145132190
29,11,Y5N=j>Naxr=MZ3*j,143482573
30,11,Y5N=j>Naxr=MZ3*j,139168380
31,11,Y5N=j>Naxr=MZ3*j,143113014
32,11,Y5N=j>Naxr=MZ3*j,146960011
33,11,Y5N=j>Naxr=MZ3*j,157758669
34,11,Y5N=j>Naxr=MZ3*j,154850854
35,11,Y5N=j>Naxr=MZ3*j,149793702
36,11,Y5N=j>Naxr=MZ3*j,151909958
37,11,Y5N=j>Naxr=MZ3*j,145131112
38,11,Y5N=j>Naxr=MZ3*j,149427066
39,11,Y5N=j>Naxr=MZ3*j,146578897
40,11,Y5N=j>Naxr=MZ3*j,147276470
41,11,Y5N=j>Naxr=MZ3*j,145395488
42,11,Y5N=j>Naxr=MZ3*j,141429711
43,11,Y5N=j>Naxr=MZ3*j,144939493
44,11,Y5N=j>Naxr=MZ3*j,139029411
45,11,Y5N=j>Naxr=MZ3*j,153552587
46,11,Y5N=j>Naxr=MZ3*j,146884960
47,11,Y5N=j>Naxr=MZ3*j,167987651
48,11,Y5N=j>Naxr=MZ3*j,150536852
49,11,Y5N=j>Naxr=MZ3*j,152301723
